cpd_id	Pathway	Description
C00019	999	Biosynthesis of various plant secondary metabolites
C00019	1060	Biosynthesis of plant secondary metabolites
C00019	1070	Biosynthesis of plant hormones
C00019	1100	Metabolic pathways
C00019	1110	Biosynthesis of secondary metabolites
C00019	1230	Biosynthesis of amino acids
C00019	1240	Biosynthesis of cofactors
C00019	4122	Sulfur relay system
C00019	5208	Chemical carcinogenesis - reactive oxygen species
C00020	230	Purine metabolism
C00020	908	Zeatin biosynthesis
C00020	1060	Biosynthesis of plant secondary metabolites
C00020	1065	Biosynthesis of alkaloids derived from histidine and purine
C00020	1070	Biosynthesis of plant hormones
C00020	1100	Metabolic pathways
C00020	1110	Biosynthesis of secondary metabolites
C00020	1232	Nucleotide metabolism
C00020	1240	Biosynthesis of cofactors
C00020	1523	Antifolate resistance
C00020	4022	cGMP-PKG signaling pathway
C00020	4024	cAMP signaling pathway
C00020	4068	FoxO signaling pathway
C00020	4150	mTOR signaling pathway
C00020	4151	PI3K-Akt signaling pathway
C00020	4152	AMPK signaling pathway
C00020	4211	Longevity regulating pathway
C00020	4740	Olfactory transduction
C00020	4742	Taste transduction
C00020	4923	Regulation of lipolysis in adipocytes
C00020	4924	Renin secretion
C00020	4925	Aldosterone synthesis and secretion
C00020	4927	Cortisol synthesis and secretion
C00020	4928	"Parathyroid hormone synthesis, secretion and action"
C00020	4934	Cushing syndrome
C00020	5012	Parkinson disease
C00020	5022	Pathways of neurodegeneration - multiple diseases
C00020	5032	Morphine addiction
C00021	270	Cysteine and methionine metabolism
C00021	1100	Metabolic pathways
C00021	1230	Biosynthesis of amino acids
C00021	1240	Biosynthesis of cofactors
C00021	5208	Chemical carcinogenesis - reactive oxygen species
C00022	10	Glycolysis / Gluconeogenesis
C00022	20	Citrate cycle (TCA cycle)
C00022	30	Pentose phosphate pathway
C00022	40	Pentose and glucuronate interconversions
C00022	53	Ascorbate and aldarate metabolism
C00022	250	"Alanine, aspartate and glutamate metabolism"
C00022	260	"Glycine, serine and threonine metabolism"
C00022	261	Monobactam biosynthesis
C00022	270	Cysteine and methionine metabolism
C00022	290	"Valine, leucine and isoleucine biosynthesis"
C00022	330	Arginine and proline metabolism
C00022	350	Tyrosine metabolism
C00022	360	Phenylalanine metabolism
C00022	362	Benzoate degradation
C00022	430	Taurine and hypotaurine metabolism
C00022	440	Phosphonate and phosphinate metabolism
C00022	470	D-Amino acid metabolism
C00022	620	Pyruvate metabolism
C00022	621	Dioxin degradation
C00022	622	Xylene degradation
C00022	630	Glyoxylate and dicarboxylate metabolism
C00022	650	Butanoate metabolism
C00022	660	C5-Branched dibasic acid metabolism
C00022	680	Methane metabolism
C00022	710	Carbon fixation in photosynthetic organisms
C00022	720	Carbon fixation pathways in prokaryotes
C00022	730	Thiamine metabolism
C00022	760	Nicotinate and nicotinamide metabolism
C00022	770	Pantothenate and CoA biosynthesis
C00022	785	Lipoic acid metabolism
C00022	900	Terpenoid backbone biosynthesis
C00022	997	Biosynthesis of various other secondary metabolites
C00022	998	Biosynthesis of various antibiotics
C00022	1060	Biosynthesis of plant secondary metabolites
C00022	1061	Biosynthesis of phenylpropanoids
C00022	1062	Biosynthesis of terpenoids and steroids
C00022	1063	Biosynthesis of alkaloids derived from shikimate pathway
C00022	1064	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
C00022	1065	Biosynthesis of alkaloids derived from histidine and purine
C00022	1066	Biosynthesis of alkaloids derived from terpenoid and polyketide
C00022	1070	Biosynthesis of plant hormones
C00022	1100	Metabolic pathways
C00022	1110	Biosynthesis of secondary metabolites
C00022	1120	Microbial metabolism in diverse environments
C00022	1200	Carbon metabolism
C00022	1210	2-Oxocarboxylic acid metabolism
C00022	1220	Degradation of aromatic compounds
C00022	1230	Biosynthesis of amino acids
C00022	1240	Biosynthesis of cofactors
C00022	1502	Vancomycin resistance
C00022	2060	Phosphotransferase system (PTS)
C00022	4066	HIF-1 signaling pathway
C00022	4152	AMPK signaling pathway
C00022	4911	Insulin secretion
C00022	4922	Glucagon signaling pathway
C00022	4930	Type II diabetes mellitus
C00022	4931	Insulin resistance
C00022	5230	Central carbon metabolism in cancer
C00022	5415	Diabetic cardiomyopathy
C00023	5208	Chemical carcinogenesis - reactive oxygen species
C00024	10	Glycolysis / Gluconeogenesis
C00024	20	Citrate cycle (TCA cycle)
C00024	61	Fatty acid biosynthesis
C00024	62	Fatty acid elongation
C00024	71	Fatty acid degradation
C00024	254	Aflatoxin biosynthesis
C00024	280	"Valine, leucine and isoleucine degradation"
C00024	290	"Valine, leucine and isoleucine biosynthesis"
C00024	300	Lysine biosynthesis
C00024	310	Lysine degradation
C00024	360	Phenylalanine metabolism
C00024	362	Benzoate degradation
C00024	380	Tryptophan metabolism
C00024	410	beta-Alanine metabolism
C00024	430	Taurine and hypotaurine metabolism
C00024	480	Glutathione metabolism
C00024	562	Inositol phosphate metabolism
C00024	620	Pyruvate metabolism
C00024	621	Dioxin degradation
C00024	622	Xylene degradation
C00024	625	Chloroalkane and chloroalkene degradation
C00024	630	Glyoxylate and dicarboxylate metabolism
C00024	640	Propanoate metabolism
C00024	642	Ethylbenzene degradation
C00024	650	Butanoate metabolism
C00024	660	C5-Branched dibasic acid metabolism
C00024	680	Methane metabolism
C00024	720	Carbon fixation pathways in prokaryotes
C00024	785	Lipoic acid metabolism
C00024	900	Terpenoid backbone biosynthesis
C00024	907	"Pinene, camphor and geraniol degradation"
C00024	996	Biosynthesis of various alkaloids
C00024	997	Biosynthesis of various other secondary metabolites
C00024	998	Biosynthesis of various antibiotics
C00024	999	Biosynthesis of various plant secondary metabolites
C00024	1056	Biosynthesis of type II polyketide backbone
C00024	1060	Biosynthesis of plant secondary metabolites
C00024	1061	Biosynthesis of phenylpropanoids
C00024	1062	Biosynthesis of terpenoids and steroids
C00024	1063	Biosynthesis of alkaloids derived from shikimate pathway
C00024	1064	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
C00024	1065	Biosynthesis of alkaloids derived from histidine and purine
C00024	1066	Biosynthesis of alkaloids derived from terpenoid and polyketide
C00024	1070	Biosynthesis of plant hormones
C00024	1100	Metabolic pathways
C00024	1110	Biosynthesis of secondary metabolites
C00024	1120	Microbial metabolism in diverse environments
C00024	1200	Carbon metabolism
C00024	1210	2-Oxocarboxylic acid metabolism
C00024	1212	Fatty acid metabolism
C00024	1220	Degradation of aromatic compounds
C00024	1240	Biosynthesis of cofactors
C00024	4066	HIF-1 signaling pathway
C00024	4152	AMPK signaling pathway
C00024	4216	Ferroptosis
C00024	4714	Thermogenesis
C00024	4725	Cholinergic synapse
C00024	4922	Glucagon signaling pathway
C00024	4931	Insulin resistance
C00024	4936	Alcoholic liver disease
C00024	4976	Bile secretion
C00024	5230	Central carbon metabolism in cancer
C00024	5415	Diabetic cardiomyopathy
C00025	220	Arginine biosynthesis
C00025	250	"Alanine, aspartate and glutamate metabolism"
C00025	330	Arginine and proline metabolism
C00025	332	Carbapenem biosynthesis
C00025	340	Histidine metabolism
C00025	430	Taurine and hypotaurine metabolism
C00025	470	D-Amino acid metabolism
C00025	480	Glutathione metabolism
C00025	524	"Neomycin, kanamycin and gentamicin biosynthesis"
C00025	630	Glyoxylate and dicarboxylate metabolism
C00025	650	Butanoate metabolism
C00025	660	C5-Branched dibasic acid metabolism
C00025	860	Porphyrin metabolism
C00025	910	Nitrogen metabolism
C00025	970	Aminoacyl-tRNA biosynthesis
C00025	997	Biosynthesis of various other secondary metabolites
C00025	998	Biosynthesis of various antibiotics
C00025	1060	Biosynthesis of plant secondary metabolites
C00025	1064	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
C00025	1100	Metabolic pathways
C00025	1110	Biosynthesis of secondary metabolites
C00025	1120	Microbial metabolism in diverse environments
C00025	1200	Carbon metabolism
C00025	1210	2-Oxocarboxylic acid metabolism
C00025	1230	Biosynthesis of amino acids
C00025	1240	Biosynthesis of cofactors
C00025	2010	ABC transporters
C00025	2020	Two-component system
C00025	4068	FoxO signaling pathway
C00025	4072	Phospholipase D signaling pathway
C00025	4080	Neuroactive ligand-receptor interaction
C00025	4216	Ferroptosis
C00025	4540	Gap junction
C00025	4713	Circadian entrainment
C00025	4720	Long-term potentiation
C00025	4721	Synaptic vesicle cycle
C00025	4723	Retrograde endocannabinoid signaling
C00025	4724	Glutamatergic synapse
C00025	4727	GABAergic synapse
C00025	4730	Long-term depression
C00025	4742	Taste transduction
C00025	4964	Proximal tubule bicarbonate reclamation
C00025	4974	Protein digestion and absorption
C00025	5014	Amyotrophic lateral sclerosis
C00025	5016	Huntington disease
C00025	5017	Spinocerebellar ataxia
C00025	5022	Pathways of neurodegeneration - multiple diseases
C00025	5030	Cocaine addiction
C00025	5031	Amphetamine addiction
C00025	5033	Nicotine addiction
C00025	5034	Alcoholism
C00025	5230	Central carbon metabolism in cancer
C00026	20	Citrate cycle (TCA cycle)
C00026	40	Pentose and glucuronate interconversions
C00026	53	Ascorbate and aldarate metabolism
C00026	220	Arginine biosynthesis
C00026	250	"Alanine, aspartate and glutamate metabolism"
C00026	300	Lysine biosynthesis
C00026	310	Lysine degradation
C00026	340	Histidine metabolism
C00026	365	Furfural degradation
C00026	430	Taurine and hypotaurine metabolism
C00026	470	D-Amino acid metabolism
C00026	630	Glyoxylate and dicarboxylate metabolism
C00026	650	Butanoate metabolism
C00026	660	C5-Branched dibasic acid metabolism
C00026	720	Carbon fixation pathways in prokaryotes
C00026	785	Lipoic acid metabolism
C00026	997	Biosynthesis of various other secondary metabolites
C00026	998	Biosynthesis of various antibiotics
C00026	1060	Biosynthesis of plant secondary metabolites
C00026	1061	Biosynthesis of phenylpropanoids
C00026	1062	Biosynthesis of terpenoids and steroids
C00026	1063	Biosynthesis of alkaloids derived from shikimate pathway
C00026	1064	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
C00026	1065	Biosynthesis of alkaloids derived from histidine and purine
C00026	1066	Biosynthesis of alkaloids derived from terpenoid and polyketide
C00026	1070	Biosynthesis of plant hormones
C00026	1100	Metabolic pathways
C00026	1110	Biosynthesis of secondary metabolites
C00026	1120	Microbial metabolism in diverse environments
C00026	1200	Carbon metabolism
C00026	1210	2-Oxocarboxylic acid metabolism
C00026	1230	Biosynthesis of amino acids
C00026	1240	Biosynthesis of cofactors
C00026	4066	HIF-1 signaling pathway
C00026	4727	GABAergic synapse
C00026	4922	Glucagon signaling pathway
C00026	4964	Proximal tubule bicarbonate reclamation
C00026	4976	Bile secretion
C00026	5230	Central carbon metabolism in cancer
C00027	630	Glyoxylate and dicarboxylate metabolism
C00027	1110	Biosynthesis of secondary metabolites
C00027	4022	cGMP-PKG signaling pathway
C00027	4210	Apoptosis
C00027	4216	Ferroptosis
C00027	4217	Necroptosis
C00027	4218	Cellular senescence
C00027	4380	Osteoclast differentiation
C00027	4613	Neutrophil extracellular trap formation
C00027	4624	Toll and Imd signaling pathway
C00027	4625	C-type lectin receptor signaling pathway
C00027	4626	Plant-pathogen interaction
C00027	4670	Leukocyte transendothelial migration
C00027	4918	Thyroid hormone synthesis
C00027	4940	Type I diabetes mellitus
C00027	5010	Alzheimer disease
C00027	5012	Parkinson disease
C00027	5014	Amyotrophic lateral sclerosis
C00027	5020	Prion disease
C00027	5022	Pathways of neurodegeneration - multiple diseases
C00027	5030	Cocaine addiction
C00027	5031	Amphetamine addiction
C00027	5034	Alcoholism
C00027	5146	Amoebiasis
C00027	5164	Influenza A
C00027	5166	Human T-cell leukemia virus 1 infection
C00027	5171	Coronavirus disease - COVID-19
C00027	5200	Pathways in cancer
C00027	5204	Chemical carcinogenesis - DNA adducts
C00027	5208	Chemical carcinogenesis - reactive oxygen species
C00027	5225	Hepatocellular carcinoma
C00027	5322	Systemic lupus erythematosus
C00027	5415	Diabetic cardiomyopathy
C00027	5417	Lipid and atherosclerosis
C00029	40	Pentose and glucuronate interconversions
C00029	52	Galactose metabolism
C00029	53	Ascorbate and aldarate metabolism
C00029	500	Starch and sucrose metabolism
C00029	520	Amino sugar and nucleotide sugar metabolism
C00029	524	"Neomycin, kanamycin and gentamicin biosynthesis"
C00029	541	O-Antigen nucleotide sugar biosynthesis
C00029	552	Teichoic acid biosynthesis
C00029	561	Glycerolipid metabolism
C00029	908	Zeatin biosynthesis
C00029	1051	Biosynthesis of ansamycins
C00029	1060	Biosynthesis of plant secondary metabolites
C00029	1100	Metabolic pathways
C00029	1110	Biosynthesis of secondary metabolites
C00029	1240	Biosynthesis of cofactors
C00029	1250	Biosynthesis of nucleotide sugars
C00031	10	Glycolysis / Gluconeogenesis
C00031	30	Pentose phosphate pathway
C00031	52	Galactose metabolism
C00031	500	Starch and sucrose metabolism
C00031	520	Amino sugar and nucleotide sugar metabolism
C00031	521	Streptomycin biosynthesis
C00031	524	"Neomycin, kanamycin and gentamicin biosynthesis"
C00031	901	Indole alkaloid biosynthesis
C00031	1100	Metabolic pathways
C00031	1110	Biosynthesis of secondary metabolites
C00031	2010	ABC transporters
C00031	2020	Two-component system
C00031	2060	Phosphotransferase system (PTS)
C00031	4066	HIF-1 signaling pathway
C00031	4068	FoxO signaling pathway
C00031	4113	Meiosis - yeast
C00031	4152	AMPK signaling pathway
C00031	4742	Taste transduction
C00031	4910	Insulin signaling pathway
C00031	4911	Insulin secretion
C00031	4917	Prolactin signaling pathway
C00031	4922	Glucagon signaling pathway
C00031	4930	Type II diabetes mellitus
C00031	4931	Insulin resistance
C00031	4932	Non-alcoholic fatty liver disease
C00031	4933	AGE-RAGE signaling pathway in diabetic complications
C00031	4973	Carbohydrate digestion and absorption
C00031	4976	Bile secretion
C00031	4978	Mineral absorption
C00031	5111	Biofilm formation - Vibrio cholerae
C00031	5230	Central carbon metabolism in cancer
C00031	5415	Diabetic cardiomyopathy
C00032	860	Porphyrin metabolism
C00032	1060	Biosynthesis of plant secondary metabolites
C00032	1100	Metabolic pathways
C00032	1110	Biosynthesis of secondary metabolites
C00032	1240	Biosynthesis of cofactors
C00032	2010	ABC transporters
C00032	4216	Ferroptosis
C00032	4978	Mineral absorption
C00033	10	Glycolysis / Gluconeogenesis
C00033	430	Taurine and hypotaurine metabolism
C00033	440	Phosphonate and phosphinate metabolism
C00033	534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
C00033	620	Pyruvate metabolism
C00033	630	Glyoxylate and dicarboxylate metabolism
C00033	660	C5-Branched dibasic acid metabolism
C00033	680	Methane metabolism
C00033	720	Carbon fixation pathways in prokaryotes
C00033	908	Zeatin biosynthesis
C00033	920	Sulfur metabolism
C00033	1100	Metabolic pathways
C00033	1110	Biosynthesis of secondary metabolites
C00033	1120	Microbial metabolism in diverse environments
C00033	1200	Carbon metabolism
C00033	1220	Degradation of aromatic compounds
C00033	4725	Cholinergic synapse
C00033	4936	Alcoholic liver disease
C00033	4973	Carbohydrate digestion and absorption
C00033	4974	Protein digestion and absorption
C00034	195	Photosynthesis
C00034	1100	Metabolic pathways
C00034	2010	ABC transporters
C00034	2020	Two-component system
C00034	5012	Parkinson disease
C00035	230	Purine metabolism
C00035	1100	Metabolic pathways
C00035	1232	Nucleotide metabolism
C00035	4014	Ras signaling pathway
C00035	4015	Rap1 signaling pathway
C00035	4140	Autophagy - animal
C00035	4144	Endocytosis
C00036	10	Glycolysis / Gluconeogenesis
C00036	20	Citrate cycle (TCA cycle)
C00036	250	"Alanine, aspartate and glutamate metabolism"
C00036	362	Benzoate degradation
C00036	470	D-Amino acid metabolism
C00036	620	Pyruvate metabolism
C00036	630	Glyoxylate and dicarboxylate metabolism
C00036	680	Methane metabolism
C00036	710	Carbon fixation in photosynthetic organisms
C00036	720	Carbon fixation pathways in prokaryotes
C00036	946	Degradation of flavonoids
C00036	997	Biosynthesis of various other secondary metabolites
C00036	998	Biosynthesis of various antibiotics
C00036	999	Biosynthesis of various plant secondary metabolites
C00036	1060	Biosynthesis of plant secondary metabolites
C00036	1061	Biosynthesis of phenylpropanoids
C00036	1062	Biosynthesis of terpenoids and steroids
C00036	1063	Biosynthesis of alkaloids derived from shikimate pathway
C00036	1064	"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
C00036	1065	Biosynthesis of alkaloids derived from histidine and purine
C00036	1066	Biosynthesis of alkaloids derived from terpenoid and polyketide
C00036	1070	Biosynthesis of plant hormones
C00036	1100	Metabolic pathways
C00036	1110	Biosynthesis of secondary metabolites
C00036	1120	Microbial metabolism in diverse environments
C00036	1200	Carbon metabolism
C00036	1210	2-Oxocarboxylic acid metabolism
C00036	1230	Biosynthesis of amino acids
C00036	1240	Biosynthesis of cofactors
C00036	2020	Two-component system
C00036	4922	Glucagon signaling pathway
C00036	4964	Proximal tubule bicarbonate reclamation
C00036	5230	Central carbon metabolism in cancer
C00037	120	Primary bile acid biosynthesis
C00037	230	Purine metabolism
C00037	260	"Glycine, serine and threonine metabolism"
C00037	310	Lysine degradation
C00037	440	Phosphonate and phosphinate metabolism
C00037	460	Cyanoamino acid metabolism
C00037	470	D-Amino acid metabolism
C00037	480	Glutathione metabolism
C00037	630	Glyoxylate and dicarboxylate metabolism
C00037	680	Methane metabolism
C00037	730	Thiamine metabolism
C00037	785	Lipoic acid metabolism
C00037	860	Porphyrin metabolism
C00037	970	Aminoacyl-tRNA biosynthesis
C00037	1060	Biosynthesis of plant secondary metabolites
C00037	1100	Metabolic pathways
C00037	1110	Biosynthesis of secondary metabolites
C00037	1120	Microbial metabolism in diverse environments
C00037	1200	Carbon metabolism
C00037	1230	Biosynthesis of amino acids
C00037	1240	Biosynthesis of cofactors
C00037	1502	Vancomycin resistance
C00037	2010	ABC transporters
C00037	2026	Biofilm formation - Escherichia coli
C00037	4080	Neuroactive ligand-receptor interaction
C00037	4721	Synaptic vesicle cycle
C00037	4974	Protein digestion and absorption
C00037	4978	Mineral absorption
C00037	5230	Central carbon metabolism in cancer
C00038	2010	ABC transporters
C00038	2020	Two-component system
C00038	4978	Mineral absorption
C00038	5010	Alzheimer disease
C00039	230	Purine metabolism
C00039	240	Pyrimidine metabolism
C00039	1100	Metabolic pathways
C00039	1501	beta-Lactam resistance
C00039	4613	Neutrophil extracellular trap formation
C00039	4623	Cytosolic DNA-sensing pathway
C00039	5014	Amyotrophic lateral sclerosis
C00039	5200	Pathways in cancer
C00039	5225	Hepatocellular carcinoma
C00039	5226	Gastric cancer
C00040	62	Fatty acid elongation
C00040	561	Glycerolipid metabolism
C00040	564	Glycerophospholipid metabolism
C00040	4152	AMPK signaling pathway
C00040	4714	Thermogenesis
C00040	4920	Adipocytokine signaling pathway
C00040	4922	Glucagon signaling pathway
C00040	4936	Alcoholic liver disease
C00040	4975	Fat digestion and absorption
C00041	250	"Alanine, aspartate and glutamate metabolism"
C00041	270	Cysteine and methionine metabolism
C00041	430	Taurine and hypotaurine metabolism
C00041	450	Selenocompound metabolism
C00041	470	D-Amino acid metabolism
C00041	710	Carbon fixation in photosynthetic organisms
C00041	970	Aminoacyl-tRNA biosynthesis
C00041	997	Biosynthesis of various other secondary metabolites
C00041	1060	Biosynthesis of plant secondary metabolites
C00041	1100	Metabolic pathways
C00041	1110	Biosynthesis of secondary metabolites
C00041	1120	Microbial metabolism in diverse environments
C00041	1200	Carbon metabolism
C00041	1210	2-Oxocarboxylic acid metabolism
C00041	1230	Biosynthesis of amino acids
C00041	1502	Vancomycin resistance
C00041	2010	ABC transporters
C00041	4122	Sulfur relay system
C00041	4974	Protein digestion and absorption
C00041	4978	Mineral absorption
C00041	5230	Central carbon metabolism in cancer
C00042	20	Citrate cycle (TCA cycle)
C00042	190	Oxidative phosphorylation
C00042	250	"Alanine, aspartate and glutamate metabolism"
C00042	310	Lysine degradation
C00042	350	Tyrosine metabolism
C00042	360	Phenylalanine metabolism
C00042	361	Chlorocyclohexane and chlorobenzene degradation
C00042	620	Pyruvate metabolism
C00042	630	Glyoxylate and dicarboxylate metabolism
C00042	640	Propanoate metabolism
